dataset,sequences,sites,model,type,logl,AICc,GammaShape
petA,340,351,WAG-No,chloro,-12792.4333605,26849.5429909,NA
psbT,341,43,JC69-G,chloro,-687.045171277,2279.25198215,0.254692182574
ycf4,334,233,LG-No,chloro,-10576.5935021,22374.7147385,NA
petD,341,211,mtVer-No,chloro,-2999.3764966,7056.48557982,NA
ND3,352,132,LG-G,mito,-18779.4512095,38978.2860393,0.567089733584
ndhF,315,891,gcpREV-G,chloro,-59328.659849,119908.105014,0.625925420661
ndhH,328,578,JTT-No,chloro,-13540.278644,28288.3990075,NA
petB,335,274,gcpREV-G,chloro,-3109.34269631,7294.9702678,0.243242524895
rps11,351,181,WAG-No,chloro,-7474.91947978,16147.0324387,NA
atpE,340,154,JTT-No,chloro,-6898.43326144,15014.8938429,NA
ND6,362,401,LG-No,mito,-64962.9180955,131375.044194,NA
rpoC2,334,2291,gcpREV-G,chloro,-115249.425164,231826.001968,0.860726893098
psbB,327,518,WAG-No,chloro,-8662.22254788,18488.4376315,NA
ndhD,309,532,JTT-G,chloro,-23652.7662183,48507.9210366,0.653122017186
ycf1,352,7031,mtVer-G,chloro,-321070.244188,643544.887297,1.22544299631
COX1,344,537,mtVer-No,mito,-25475.955888,52320.9736467,NA
ND2,352,356,gcpREV-No,mito,-82918.9051727,167247.70862,NA
ndhB,604,807,JTT-No,chloro,-12857.9144931,27647.6535731,NA
rbcL,337,509,mtVer-No,chloro,-14501.5881608,30334.3291815,NA
psbT,341,43,mtVer-No,chloro,-697.363399207,2297.76307513,NA
rps2,340,278,mtVer-No,chloro,-14127.8488417,29491.7400667,NA
rps3,347,313,WAG-No,chloro,-17160.2665348,35626.3479286,NA
petG,341,38,LG-G,chloro,-524.81809884,1877.31348344,0.802381833404
ndhC,314,142,WAG-G,chloro,-3647.77364094,8358.0818922,0.510063398338
petD,341,211,LG-No,chloro,-3079.99497904,7217.72254472,NA
atpF,338,257,gcpREV-G,chloro,-12066.6358375,25406.5501647,0.82806427594
rpoC1,336,898,JC69-G,chloro,-39958.3119004,81213.4088147,0.437497547667
rps4,342,253,gcpREV-G,chloro,-10584.5486449,22409.9455363,0.621771140258
rps2,340,278,WAG-G,chloro,-12788.1267857,26814.3222372,0.783945364871
rbcL,337,509,JC69-G,chloro,-13731.7689433,28796.7063206,0.22094970634
rpl14,346,143,JTT-G,chloro,-4423.58787547,9998.43861183,0.674513180164
rps4,342,253,gcpREV-No,chloro,-11410.6016069,24060.022676,NA
ND2,352,356,WAG-No,mito,-85303.412801,172016.723877,NA
atpA,340,523,mtVer-G,chloro,-15403.4993571,32067.4573153,0.398845263152
rps4,342,253,JC69-No,chloro,-13950.4410019,29139.701466,NA
ATP6,352,243,LG-No,mito,-36604.0596598,74621.7208473,NA
ycf2,537,5835,JTT-No,chloro,-183219.835539,368502.350431,NA
psbA,344,362,WAG-G,chloro,-2585.43309228,6176.92181806,0.170679625487
rpl36,343,58,LG-No,chloro,-1218.05292248,3323.50971978,NA
ND5,350,662,LG-G,mito,-119559.549253,240519.322747,0.613802138648
rpoB,334,1239,LG-G,chloro,-51125.1224977,103544.268148,0.693436008781
COX2,347,242,WAG-No,mito,-20999.7393894,43376.6967401,NA
psbJ,342,41,JTT-No,chloro,-811.177048961,2565.07905185,NA
rpl22,316,352,mtVer-No,chloro,-18326.323712,37826.8227383,NA
psbN,339,45,LG-No,chloro,-669.34791106,2156.07465895,NA
ndhI,316,213,LG-No,chloro,-7779.63074764,16696.8103618,NA
ATP8,353,80,JC69-No,mito,-18677.8470833,38791.3309,NA
rps7,655,166,WAG-G,chloro,-4654.20891382,11058.404199,0.923370009268
petN,332,37,WAG-G,chloro,-406.457578556,1607.89582613,2.02361583296
atpI,340,257,WAG-G,chloro,-6731.08780224,14648.1836699,0.421577007807
rps4,342,253,JC69-G,chloro,-12040.2845678,25321.417382,0.433553725045
rpl14,346,143,mtVer-G,chloro,-4545.26706995,10241.7970008,0.409688899803
ycf2,537,5835,mtVer-G,chloro,-187235.696242,376536.073156,1.52103824132
atpF,338,257,LG-No,chloro,-13139.4862933,27550.2216531,NA
petA,340,351,LG-No,chloro,-13196.1271933,27656.9306565,NA
rps8,349,199,LG-No,chloro,-10067.8714426,21407.2956315,NA
ND6,362,401,gcpREV-No,mito,-63669.27205,128787.752103,NA
psaB,339,735,WAG-No,chloro,-11126.6786502,23460.2781491,NA
ndhF,315,891,WAG-G,chloro,-61222.7074063,123696.200129,0.628654235794
rbcL,337,509,WAG-G,chloro,-11775.2899642,24883.7483625,0.251044340487
ycf3,335,197,JC69-No,chloro,-4307.83863853,9680.21031711,NA
rpoC2,334,2291,JTT-G,chloro,-116368.51542,234064.182481,0.856461307328
psbK,341,82,LG-No,chloro,-3699.82706576,8590.52607249,NA
ND6,362,401,mtVer-G,mito,-60513.8200217,122478.868091,1.04261002268
ndhJ,316,177,gcpREV-No,chloro,-4870.39490417,10810.9495527,NA
ATP8,353,80,JTT-No,mito,-16252.0005239,33939.6377811,NA
ND5,350,662,JC69-G,mito,-134192.763415,269785.751072,0.447878760515
rps15,401,143,WAG-G,chloro,-7390.60857488,16149.3697633,1.31829761811
ND4,349,475,mtVer-No,mito,-77250.5431556,155896.946778,NA
ND4,349,475,LG-G,mito,-75853.5583881,153104.994143,0.590348954348
psbD,340,359,WAG-G,chloro,-2570.68983879,6113.24132677,0.120836621819
atpI,340,257,gcpREV-G,chloro,-6508.18286685,14202.3737991,0.420836187984
atpI,340,257,gcpREV-No,chloro,-7082.90636689,15349.7935613,NA
ndhG,314,219,JC69-G,chloro,-11224.4705338,23600.5199749,0.450546983516
ND2,352,356,gcpREV-G,mito,-77345.6069424,156103.134757,0.794945762689
petB,335,274,mtVer-G,chloro,-3218.80106404,7513.88700327,0.258115810484
psbB,327,518,JTT-No,chloro,-8548.92474739,18261.8420305,NA
psbD,340,359,LG-No,chloro,-2677.47697778,6324.79964878,NA
rps8,349,199,mtVer-G,chloro,-9795.7026583,20864.9949067,0.814152589291
ycf1,352,7031,mtVer-No,chloro,-333468.772073,668339.94193,NA
psbE,340,85,mtVer-No,chloro,-937.101500895,2730.73985609,NA
rps15,401,143,LG-No,chloro,-7788.5002263,16943.1050637,NA
atpE,340,154,WAG-No,chloro,-6983.19162767,15184.4105753,NA
psbK,341,82,WAG-G,chloro,-3432.42636615,8057.81090886,0.474423090828
rps11,351,181,JTT-No,chloro,-7309.9340405,15817.0615602,NA
matK,341,773,gcpREV-G,chloro,-64939.2734816,131221.966761,1.27083348066
ndhH,328,578,WAG-No,chloro,-13746.4700036,28700.7817268,NA
psbC,337,489,gcpREV-G,chloro,-5135.89054168,11431.8570087,0.207442606638
ATP8,353,80,LG-G,mito,-16248.5266724,33934.7931952,0.644659049383
petA,340,351,JTT-No,chloro,-12528.2985919,26321.2734538,NA
rpl20,343,193,JTT-No,chloro,-12081.2722807,25424.4778266,NA
psbK,341,82,LG-G,chloro,-3483.79762035,8160.55341728,0.646265433375
ND4,349,475,JTT-G,mito,-73454.4371551,148306.751677,0.590434620104
rps8,349,199,LG-G,chloro,-9697.89060112,20669.3707923,0.950042568765
ndhF,315,891,LG-No,chloro,-67407.0074664,136062.791326,NA
rps8,349,199,WAG-G,chloro,-9514.78102025,20303.1516306,1.00119193617
petA,340,351,WAG-G,chloro,-11983.1214919,25232.9405383,0.538771554528
atpF,338,257,WAG-G,chloro,-12486.8146292,26246.9077481,0.965569118411
rpl36,343,58,JTT-No,chloro,-1161.75171542,3210.90730565,NA
atpF,338,257,mtVer-G,chloro,-12604.486675,26482.2518397,0.773589845827
atpI,340,257,LG-No,chloro,-7570.50221398,16324.9852555,NA
petN,332,37,LG-No,chloro,-420.500593199,1633.85033339,NA
rps7,655,166,LG-No,chloro,-4883.2669172,11514.4878868,NA
rps3,347,313,JC69-No,chloro,-21045.9281183,43397.6710957,NA
ndhB,604,807,gcpREV-G,chloro,-12366.0038678,26665.8402652,1.04708386662
ndhI,316,213,WAG-G,chloro,-6884.00748948,14907.5978503,0.470113803146
rpl22,316,352,WAG-No,chloro,-17311.5938616,35797.3630374,NA
ND4L,353,99,LG-G,mito,-14875.5217111,31148.4746123,0.753802182824
COX2,347,242,gcpREV-No,mito,-20654.6638365,42686.5456343,NA
ndhF,315,891,gcpREV-No,chloro,-64068.4603753,129385.697144,NA
rpoC2,334,2291,JC69-No,chloro,-149383.381946,300091.912062,NA
ndhD,309,532,mtVer-No,chloro,-25020.1780427,51240.7300299,NA
rps2,340,278,mtVer-G,chloro,-13127.0077481,27492.084162,0.644038254058
rbcL,337,509,LG-No,chloro,-14103.7015769,29538.5560137,NA
ndhJ,316,177,JTT-No,chloro,-4922.75360255,10915.6669495,NA
rpl22,316,352,mtVer-G,chloro,-16948.2092069,35072.6149324,0.718235078022
atpE,340,154,gcpREV-No,chloro,-6769.61644681,14757.2602136,NA
ATP6,352,243,WAG-G,mito,-32745.7641018,66907.1629684,0.654273335681
psbJ,342,41,LG-G,chloro,-814.721767378,2574.30552237,0.45600591136
atpB,336,547,JC69-G,chloro,-14496.6316606,30249.5490963,0.273676541583
ndhK,301,390,mtVer-No,chloro,-12795.7502867,26702.7448816,NA
psbN,339,45,WAG-G,chloro,-630.88311705,2081.25394867,1.41985344569
ycf4,334,233,JC69-No,chloro,-12606.2039267,26433.9355877,NA
rpl36,343,58,WAG-G,chloro,-1183.35516089,3256.20461719,0.120057001286
ND6,362,401,LG-G,mito,-62027.0239,125505.275848,1.16780849454
psbA,344,362,LG-No,chloro,-2849.92594523,6703.89133349,NA
petN,332,37,JC69-No,chloro,-503.225539501,1799.30022599,NA
ycf3,335,197,JTT-G,chloro,-3475.62272315,8017.81093931,0.665829777813
ND1,352,347,mtVer-G,mito,-36763.7548391,74939.6371805,0.593203435396
petD,341,211,LG-G,chloro,-2851.66877504,6763.09970286,0.260471657726
petD,341,211,JC69-No,chloro,-3570.84082456,8199.41423575,NA
petD,341,211,JC69-G,chloro,-3069.03347166,7197.82909609,0.219857001182
psbL,324,68,gcpREV-G,chloro,-505.127796836,1738.1156961,0.876634018526
COX1,344,537,JTT-G,mito,-22188.4303321,45747.9374067,0.348793216848
atpA,340,523,gcpREV-No,chloro,-16154.8941703,33568.2327398,NA
psbJ,342,41,mtVer-No,chloro,-804.073922363,2550.87279865,NA
psaJ,339,68,WAG-No,chloro,-1387.79732918,3781.09880304,NA
rps8,349,199,gcpREV-No,chloro,-9510.47190907,20292.4965644,NA
psaB,339,735,gcpREV-G,chloro,-10174.8371974,21558.6049591,0.20399760979
rps2,340,278,LG-No,chloro,-13496.9403098,28229.9230029,NA
ccsA,329,484,gcpREV-No,chloro,-30195.9616119,61695.2433656,NA
petD,341,211,WAG-G,chloro,-2765.89473847,6591.55162972,0.245095961224
rps14,338,121,JC69-G,chloro,-5591.99265817,12364.8180585,0.425084780143
ndhB,604,807,gcpREV-No,chloro,-12650.7392077,27233.3030023,NA
ndhC,314,142,LG-No,chloro,-4038.83292456,9138.15251594,NA
ND1,352,347,JTT-G,mito,-38995.3608998,79402.8493019,0.581029435728
1CEL_A,301,904,LG-G,enzyme,-139350.451349,279903.559022,0.953762426896
1CZ1_A,301,858,gcpREV-G,enzyme,-149897.930558,300998.660186,0.912278388935
1G6T_A,301,753,mtVer-No,enzyme,-130544.387369,262289.954524,NA
1QFM_A,301,1406,JC69-G,enzyme,-235196.975069,471595.656697,0.572902805809
1FPS_A,301,930,WAG-G,enzyme,-94691.3833278,190585.348557,1.06950472621
1TYF_A,301,253,gcpREV-G,enzyme,-42051.1375957,85311.8209348,0.523616424239
1NBA_A,301,336,WAG-No,enzyme,-80045.3988095,161295.947297,NA
206L_A,143,415,mtVer-G,enzyme,-33365.9614731,67302.6638876,0.679187994913
1BJO_A,301,555,JTT-No,enzyme,-102846.301736,206894.921756,NA
1A8S_A,301,369,mtVer-G,enzyme,-67721.7931999,136650.114987,0.611079138753
1NBA_A,301,336,LG-G,enzyme,-76610.0445688,154427.262759,0.817618347163
206L_A,143,415,JTT-G,enzyme,-31089.5582101,62749.8573616,0.858688849622
1YCF_A,301,608,mtVer-No,enzyme,-150062.20942,301326.359456,NA
1L7N_A,201,265,mtVer-G,enzyme,-44659.6104044,90125.2892107,0.543686523736
1CEL_A,301,904,JTT-G,enzyme,-140183.87296,281570.402244,0.96593802019
1GPJ_A,301,659,JTT-No,enzyme,-164122.368086,329446.370898,NA
1G72_A,301,1165,gcpREV-No,enzyme,-166473.264073,334146.581479,NA
1L1D_A,301,194,gcpREV-G,enzyme,-36846.3029924,74905.0850048,0.533828004688
2JCW_A,301,301,LG-G,enzyme,-36282.4615244,73772.9363822,0.731460631047
1A4L_A,301,888,mtVer-G,enzyme,-119404.199885,240011.104063,0.836811577772
1E7Q_A,301,505,JC69-No,enzyme,-100522.941372,202248.630275,NA
1TRK_B,301,1055,LG-No,enzyme,-183548.5882,368297.44423,NA
1A4L_A,301,888,JTT-No,enzyme,-119917.196916,241035.089116,NA
1YON_A,301,523,JC69-G,enzyme,-114036.186338,229276.971521,0.518346877318
1QI9_A,97,1462,WAG-G,enzyme,-73570.0191401,147524.561592,0.923511454831
1GDH_A,301,398,LG-G,enzyme,-96097.0209838,193400.092455,1.12123101917
1AJ8_A,301,544,gcpREV-No,enzyme,-107966.083193,217134.572311,NA
206L_A,143,415,JTT-No,enzyme,-32656.5082715,65881.7382037,NA
1B93_A,301,210,JC69-No,enzyme,-51613.5097992,104436.500192,NA
1PMA_B,301,311,JC69-No,enzyme,-80201.4327414,161608.593601,NA
1LJL_A,301,182,mtVer-No,enzyme,-42127.2838761,85465.8341507,NA
1A8H_A,154,734,mtVer-No,enzyme,-93846.7977923,188305.251399,NA
1DJ0_A,301,439,WAG-G,enzyme,-76216.7452872,153638.973401,0.711919480292
1S3I_A,266,571,JC69-G,enzyme,-106062.09179,213187.902386,0.528820034336
1G79_A,301,319,LG-G,enzyme,-58035.2690603,117278.096443,0.706436135334
1EUU_A,203,2253,mtVer-No,enzyme,-175047.138239,350900.989073,NA
2DOR_A,301,484,gcpREV-No,enzyme,-106830.718736,214864.391843,NA
1BF2_A,301,1450,LG-G,enzyme,-198507.883521,398217.421743,0.707878518009
1TLP_E,34,493,gcpREV-No,enzyme,-15013.8429467,30158.1997889,NA
1WGI_A,301,760,LG-G,enzyme,-74741.8330073,150686.826968,0.705809727181
1BZC_A,83,698,WAG-G,enzyme,-25935.1466731,52199.2301808,1.04947830724
1GCB_A,301,783,JC69-G,enzyme,-167571.416625,336345.901115,0.574520179117
1FF3_A,301,306,JTT-G,enzyme,-55864.8659352,112937.613407,0.629578214291
1TAH_B,301,627,gcpREV-G,enzyme,-96902.6135948,195009.060791,0.949976843613
1TRK_B,301,1055,JC69-G,enzyme,-191975.9778,385154.231009,0.519781426553
1BQC_A,75,696,gcpREV-No,enzyme,-34116.8364058,68528.5087448,NA
1MBB_A,301,469,mtVer-No,enzyme,-121975.473355,245154.060213,NA
1TAH_B,301,627,WAG-No,enzyme,-101593.24592,204388.312663,NA
1YON_A,301,523,mtVer-No,enzyme,-119995.33544,241193.254392,NA
1SMN_A,183,474,gcpREV-G,enzyme,-62535.1436122,125801.363506,0.943506562639
1J79_A,301,481,gcpREV-No,enzyme,-95233.0456266,191669.076653,NA
1GDH_A,301,398,WAG-G,enzyme,-95085.6096507,191377.269789,1.1320178665
1C2T_A,301,284,gcpREV-No,enzyme,-65367.3947924,131941.257612,NA
1YCF_A,301,608,JTT-G,enzyme,-131554.959579,264313.872953,1.04578182199
1EG7_A,301,740,mtVer-G,enzyme,-134677.622566,270558.491749,0.488703018426
1UAQ_A,301,327,WAG-No,enzyme,-43994.5672954,89194.4822555,NA
1OS7_A,301,481,JTT-No,enzyme,-97535.0858769,196273.157154,NA
1K30_A,66,562,JC69-No,enzyme,-36734.9636574,73728.8347332,NA
1L1D_A,301,194,mtVer-G,enzyme,-39123.1337905,79458.746601,0.44801315082
1L7N_A,201,265,JTT-No,enzyme,-45050.4254798,90904.8889811,NA
1E2A_A,301,155,gcpREV-G,enzyme,-36252.9424923,73721.5448621,0.916271897873
3PVA_A,301,565,gcpREV-G,enzyme,-126907.947123,255020.150016,1.07870100151
13PK_A,301,768,mtVer-G,enzyme,-102266.850941,205736.829823,0.560726936391
1NU3_A,164,222,JTT-No,enzyme,-29865.2706088,60386.413952,NA
1EXP_A,158,502,mtVer-G,enzyme,-64040.2671159,128711.038251,0.8452055815
1AF7_A,301,416,WAG-G,enzyme,-92652.5303614,186510.848148,0.720706930926
1OS7_A,301,481,JC69-No,enzyme,-106977.805755,215158.596911,NA
1ZE1_A,301,532,JTT-G,enzyme,-120319.347266,241843.215283,0.704687431337
1ZE1_A,301,532,JC69-G,enzyme,-130680.572389,262565.665529,0.49075126064
1E3V_A,216,220,JTT-No,enzyme,-33483.8307987,67833.4963819,NA
1CEL_A,301,904,WAG-No,enzyme,-145974.929118,293150.50571,NA
1S95_A,77,698,JTT-No,enzyme,-25467.3017187,51237.4599512,NA
1OPM_A,128,810,mtVer-G,enzyme,-55619.9345011,111749.121504,0.738173893692
2JCW_A,301,301,WAG-No,enzyme,-38311.7133204,77829.4132187,NA
1AF7_A,301,416,LG-No,enzyme,-101532.14736,204268.062839,NA
1B8F_A,301,648,WAG-No,enzyme,-140051.666049,281305.028715,NA
1UAQ_A,301,327,gcpREV-No,enzyme,-45312.2062503,91829.7601654,NA
1GTP_A,301,338,WAG-No,enzyme,-61604.9267635,124414.960648,NA
1A50_B,301,564,JC69-G,enzyme,-101661.437819,204527.138982,0.432584297145
1H3I_A,39,647,JC69-G,enzyme,-20076.1660704,40304.7973977,2.72532301951
1A8S_A,301,369,mtVer-No,enzyme,-74351.3268649,149907.160533,NA
1E6E_A,301,1077,LG-G,enzyme,-141195.652274,283593.53339,0.952428521613
1UAQ_A,301,327,mtVer-G,enzyme,-43840.9194404,88889.2111539,0.682589755226
1A4L_A,301,888,JTT-G,enzyme,-112951.021165,227104.746623,0.741441985975
1CF2_O,301,475,WAG-No,enzyme,-98697.1690393,198597.386718,NA
1QRG_A,301,416,JC69-No,enzyme,-77248.1719653,155700.11205,NA
1REQ_A,301,992,JTT-No,enzyme,-161089.842395,323380.096936,NA
1L7N_A,201,265,gcpREV-G,enzyme,-41891.8645904,84589.7975826,0.88433297473
1OH9_A,301,409,WAG-No,enzyme,-92457.1912861,186118.249896,NA
3CSM_A,301,813,mtVer-G,enzyme,-83207.9975747,167618.949531,0.891140356276
1E3V_A,216,220,mtVer-No,enzyme,-37447.9526289,75761.7400422,NA
1GA8_A,131,500,gcpREV-No,enzyme,-68525.7165811,137571.49754,NA
1PMA_B,301,311,gcpREV-No,enzyme,-70966.1077233,143137.943565,NA
1BZC_A,83,698,LG-No,enzyme,-27219.0153949,54764.9562528,NA
1QI9_A,97,1462,WAG-No,enzyme,-76962.8849182,154308.287722,NA
3ECA_A,301,471,WAG-No,enzyme,-109445.721879,220094.535456,NA
1GDH_A,301,398,LG-No,enzyme,-101531.146043,204266.322389,NA
1GTP_A,301,338,LG-G,enzyme,-57010.2510626,115227.633047,0.711586040788
1C0K_A,301,1096,JTT-No,enzyme,-146500.440852,294201.064543,NA
1ZE1_A,301,532,mtVer-G,enzyme,-127850.627681,256905.776113,0.536325666333
1QI9_A,97,1462,LG-No,enzyme,-78180.7999383,156744.117762,NA
1FPS_A,301,930,mtVer-G,enzyme,-100247.949398,201698.480697,0.794346072359
1E6E_A,301,1077,gcpREV-G,enzyme,-140284.806296,281771.841436,0.817610397292
1DEK_A,35,420,mtVer-No,enzyme,-16884.5581977,33903.73914,NA
1TRK_B,301,1055,WAG-G,enzyme,-169125.755984,339453.787376,0.804905619069
1YON_A,301,523,LG-G,enzyme,-104500.918765,210206.436374,0.881504950389
1TAH_B,301,627,mtVer-G,enzyme,-101299.76678,203803.36716,0.796989835506
1A8H_A,154,734,WAG-No,enzyme,-84098.1461988,168807.948212,NA
1OAC_A,301,1304,gcpREV-G,enzyme,-213502.989017,428207.818285,1.07863056415
1DJ0_A,301,439,LG-No,enzyme,-84375.6052161,169954.674971,NA
1G8F_A,301,1065,mtVer-G,enzyme,-150049.810128,301301.874259,0.891203103879
1A16_A,301,603,gcpREV-No,enzyme,-137824.944106,276851.861613,NA
1ZE1_A,301,532,mtVer-No,enzyme,-143355.163552,287912.832783,NA
1DEK_A,35,420,gcpREV-No,enzyme,-15919.8606502,31974.3440451,NA
1EXP_A,158,502,mtVer-No,enzyme,-68999.3454863,138627.179062,NA
1FPS_A,301,930,LG-No,enzyme,-101785.093838,204770.760976,NA
1OS7_A,301,481,mtVer-No,enzyme,-107267.00808,215737.001561,NA
1QJE_A,122,533,mtVer-G,enzyme,-49597.3265941,99680.4686645,0.694479505422
1EUU_A,203,2253,mtVer-G,enzyme,-165766.033692,332340.783517,0.977146339485
1AF7_A,301,416,JC69-No,enzyme,-112295.343443,225794.455006,NA
1GP1_A,301,411,gcpREV-G,enzyme,-51840.7039613,104887.266098,0.950823273264
1H3I_A,39,647,mtVer-No,enzyme,-20701.6487472,41553.7506486,NA
1MHY_D,33,632,mtVer-G,enzyme,-21324.4012662,42777.2027056,0.877162370595
3PVA_A,301,565,JTT-G,enzyme,-126927.101465,255058.458701,0.996147280965
1GP1_A,301,411,gcpREV-No,enzyme,-55112.3469949,111428.532623,NA
2DOR_A,301,484,LG-G,enzyme,-100362.114878,201929.200704,0.906005842303
1TYF_A,301,253,JTT-No,enzyme,-48087.4708729,97382.4555971,NA
1CZ1_A,301,858,JTT-No,enzyme,-158724.303438,318649.396621,NA
7ATJ_A,301,477,mtVer-G,enzyme,-96147.1106898,193499.265583,0.633256306108
1IVH_A,301,650,JC69-G,enzyme,-92729.2019388,186662.10141,0.448072286877
1CBG_A,301,1260,mtVer-No,enzyme,-165681.351999,332562.602271,NA
1CBG_A,301,1260,JTT-G,enzyme,-146094.865596,293391.635808,0.825207122831
1S95_A,77,698,WAG-No,enzyme,-25130.1291496,50563.1148131,NA
1UAQ_A,301,327,LG-G,enzyme,-41141.6053023,83490.5828779,0.743835229933
1E3V_A,216,220,WAG-No,enzyme,-33080.680296,67027.1953765,NA
1CEL_A,301,904,JTT-No,enzyme,-148796.509261,298793.665998,NA
2JCW_A,301,301,JTT-No,enzyme,-39219.3379416,79644.6624612,NA
2DOR_A,301,484,mtVer-No,enzyme,-116369.727199,233942.408769,NA
1LJL_A,301,182,LG-No,enzyme,-38493.7725133,78198.8114251,NA
1E2A_A,301,155,mtVer-G,enzyme,-37838.2256139,76892.1111053,0.602098661712
1AJ8_A,301,544,LG-G,enzyme,-100472.185542,202148.791745,0.805022504879
13PK_A,301,768,JTT-G,enzyme,-96311.4460884,193826.020118,0.739394610247
1QAZ_A,43,499,mtVer-G,enzyme,-24069.9481016,48308.5643672,0.78303825594
1EG7_A,301,740,JTT-G,enzyme,-128056.45076,257316.148136,0.61199454238
1FPS_A,301,930,gcpREV-G,enzyme,-95325.7003695,191853.982641,0.872698318266
1DBT_A,301,314,gcpREV-No,enzyme,-79856.8376423,160919.329096,NA
2DOR_A,301,484,JTT-G,enzyme,-100313.818206,201832.60736,0.906114868432
1LJL_A,301,182,mtVer-G,enzyme,-36868.4831958,74950.2773308,0.495695495531
1C0K_A,301,1096,gcpREV-No,enzyme,-146670.965465,294542.113769,NA
1WGI_A,301,760,WAG-G,enzyme,-73213.5894132,147630.33978,0.775431330129
1L7N_A,201,265,WAG-No,enzyme,-44209.3353917,89222.7088048,NA
1STC_E,301,1078,gcpREV-No,enzyme,-92434.0812462,186068.381847,NA
1NU3_A,164,222,WAG-No,enzyme,-29617.6186321,59891.1099985,NA
1OS7_A,301,481,WAG-No,enzyme,-96027.4623803,193257.910161,NA
1QAZ_A,43,499,JTT-G,enzyme,-22735.6645184,45639.9972008,1.08108672332
1UAQ_A,301,327,JTT-No,enzyme,-44714.3196629,90633.9869906,NA
1BJO_A,301,555,JC69-No,enzyme,-115643.657007,232489.632298,NA
1QJE_A,122,533,gcpREV-G,enzyme,-46565.7659175,93617.3473114,0.916764522427
1MBB_A,301,469,WAG-G,enzyme,-102150.978325,205507.087264,0.720108967963
1MQW_A,301,313,LG-No,enzyme,-68273.782994,137753.244409,NA
1G8F_A,301,1065,WAG-G,enzyme,-139852.620374,280907.494751,1.26088034625
1L1D_A,301,194,WAG-G,enzyme,-35982.9638744,73178.4067687,0.625904083948
1CBG_A,301,1260,mtVer-G,enzyme,-152102.652708,305407.210032,0.75219793674
1TAH_B,301,627,JTT-No,enzyme,-102589.159178,206380.139179,NA
1GPJ_A,301,659,gcpREV-G,enzyme,-151988.458543,305180.563968,0.838377453487
1GPJ_A,301,659,mtVer-G,enzyme,-160961.575364,323126.79761,0.704086272015
1YVE_I,145,1452,WAG-G,enzyme,-62971.1796717,126519.151083,0.659181350144
1B8F_A,301,648,gcpREV-No,enzyme,-143330.040746,287861.77811,NA
1UQT_A,301,756,gcpREV-G,enzyme,-140512.413249,282228.00422,0.547496043399
1UQT_A,301,756,LG-No,enzyme,-151999.741754,305200.650641,NA
1G79_A,301,319,LG-No,enzyme,-63094.7891777,127395.111446,NA
3CSM_A,301,813,gcpREV-G,enzyme,-78941.0913269,159085.137035,0.873206509076
1BF2_A,301,1450,mtVer-No,enzyme,-235300.278282,471800.205755,NA
1FF3_A,301,306,JC69-No,enzyme,-68252.4366966,137710.728616,NA
1CZ1_A,301,858,JC69-No,enzyme,-172920.606916,347042.003576,NA
1GCB_A,301,783,mtVer-G,enzyme,-158506.712114,318216.492093,0.676455764507
1WGI_A,301,760,gcpREV-G,enzyme,-73752.9553021,148709.071558,0.690065788409
1OPM_A,128,810,LG-G,enzyme,-53393.8003061,107296.853114,0.893389583813
1GDH_A,301,398,JC69-G,enzyme,-107510.070603,216226.191695,0.566100198803
206L_A,143,415,WAG-No,enzyme,-32116.7959088,64802.3134783,NA
1NIR_A,157,755,WAG-G,enzyme,-69664.379693,139954.411464,0.668667206633
1BQC_A,75,696,JC69-No,enzyme,-37194.346097,74683.5281273,NA
1J79_A,301,481,JC69-G,enzyme,-95189.8941705,191584.790422,0.499071674176
1WGI_A,301,760,mtVer-G,enzyme,-77277.6904728,155758.541899,0.623270878611
1K30_A,66,562,LG-No,enzyme,-34190.472198,68639.8518144,NA
1HV9_A,301,574,JC69-G,enzyme,-127955.829318,257115.847447,0.463873323467
1S3I_A,266,571,gcpREV-G,enzyme,-95769.9274571,192603.573721,0.935182058225
1CBG_A,301,1260,gcpREV-No,enzyme,-156016.179411,313232.257094,NA
1A4L_A,301,888,WAG-No,enzyme,-118313.963712,237828.622708,NA
1GCB_A,301,783,LG-G,enzyme,-149628.660155,300460.388176,0.857440744768
1YON_A,301,523,gcpREV-No,enzyme,-111928.449703,225059.482917,NA
1GPJ_A,301,659,WAG-No,enzyme,-162253.467754,325708.570235,NA
1QI9_A,97,1462,LG-G,enzyme,-74386.6606151,149157.844542,0.816127818945
1G6T_A,301,753,mtVer-G,enzyme,-112569.749818,226342.690052,0.489863300851
1AJ8_A,301,544,WAG-G,enzyme,-99375.929586,199956.279834,0.895688730017
1QFM_A,301,1406,gcpREV-G,enzyme,-212093.647761,425389.00208,0.814298831265
1A8S_A,301,369,LG-No,enzyme,-68716.6225845,138637.751972,NA
1YON_A,301,523,JC69-No,enzyme,-121355.003958,243912.591426,NA
1BQC_A,75,696,WAG-G,enzyme,-32244.4444504,64785.7362236,0.993389156442
1CF2_O,301,475,gcpREV-G,enzyme,-94031.9824013,189269.030334,0.801201637639
1DEK_A,35,420,LG-No,enzyme,-15838.8846365,31812.3920177,NA
1BJO_A,301,555,WAG-No,enzyme,-101113.839825,203429.997935,NA
1OH9_A,301,409,gcpREV-G,enzyme,-87426.3293655,176058.545693,0.853254238653
